"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Psychotropic"	"group"
"3926"	"Modecate 25mg/ml Injection (Sanofi-Synthelabo Ltd)"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"Fluphenazine"	"25mg/ml"	"Antipsychotic Depot Injections"	"Fluphenazine"	"Antipsychotics"
"50892"	"Zispin SolTab 15mg orodispersible tablets (Necessity Supplies Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"43246"	"Mirtazapine 15mg orodispersible tablets (Genus Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"34339"	"Haloperidol 1.5mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Haloperidol"	"1.5mg"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"67742"	"Lofepramine 70mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Lofepramine"	"70mg"	"Tricyclic And Related Antidepressants"	"Lofepramine"	"Antidepressants"
"43241"	"Mirtazapine 15mg orodispersible tablets (Milpharm Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"67728"	"Dosulepin 75mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Dosulepin"	"75mg"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"90484"	"Fluoxetine 20mg capsules (Flamingo Pharma (UK) Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"63953"	"Cipramil 20mg tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"61377"	"Carbamazepine 100mg tablets (Kent Pharma (UK) Ltd)"	"Oral tablet"	"Oral"	"Carbamazepine"	"100mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"36163"	"Zyprexa 20mg tablets (Neon Healthcare Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"20mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"815"	"Cipramil 40mg/ml drops (Lundbeck Ltd)"	"Oral drops"	"Oral"	"Citalopram"	"40mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"83377"	"Amitriptyline 25mg/5ml oral solution sugar free (Accord-UK Ltd)"	"Oral solution"	"Oral"	"Amitriptyline"	"5mg/1ml"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"2486"	"Lentizol 25mg modified-release capsules (Pfizer Ltd)"	"Modified-release capsule"	"Oral"	"Amitriptyline"	"25mg"	"Unknown"	"Amitriptyline"	"Antidepressants"
"7039"	"Quetiapine 300mg tablets"	"Oral tablet"	"Oral"	"Quetiapine"	"300mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"60102"	"Sodium valproate 500mg modified-release tablets (J M McGill Ltd)"	"Modified-release tablet"	"Oral"	"Valproate"	"500mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"89419"	"Venlafaxine 225mg modified-release capsules (Teva UK Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"225mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"28862"	"Chloractil 100mg Tablet (DDSA Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Chlorpromazine"	"100mg"	"Antipsychotic Products/-"	"Chlorpromazine"	"Antipsychotics"
"76480"	"Trazodone 150mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Trazodone"	"150mg"	"Tricyclic And Related Antidepressants"	"Trazodone"	"Antidepressants"
"8144"	"Bolvidon 20mg Tablet (Organon Laboratories Ltd)"	"Oral tablet"	"Oral"	"Mianserin"	"20mg"	"Tricyclic And Related Antidepressants"	"Mianserin"	"Antidepressants"
"90594"	"Sertraline 50mg tablets (Amarox Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"60355"	"Amitriptyline 25mg tablets (Phoenix Healthcare Distribution Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"21064"	"Neulactil 25mg Tablet (JHC Healthcare Ltd)"	"Tablet"	"Oral"	"Pericyazine"	"25mg"	"Antipsychotic Products"	"Pericyazine"	"Antipsychotics"
"12129"	"Sinequan 25mg capsules (Pfizer Ltd)"	"Oral capsule"	"Oral"	"Doxepin"	"25mg"	"Tricyclic And Related Antidepressants"	"Doxepin"	"Antidepressants"
"11075"	"Sodium valproate with valproic acid 500mg modified release tablets"	"Modified Release Tablet"	"Oral"	"Valproate/Valproic"	"500mg"	"Control Of Epilepsy"	"Valproate/Valproic"	"Mood Stabilisers"
"17978"	"Teril Retard 200mg tablets (Taro Pharmaceuticals (UK) Ltd)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"6405"	"Escitalopram 5mg tablets"	"Oral tablet"	"Oral"	"Escitalopram"	"5mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Escitalopram"	"Antidepressants"
"53552"	"Quetiapine 25mg tablets (Zentiva Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Quetiapine"	"25mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"82860"	"Cymbalta 60mg gastro-resistant capsules (Necessity Supplies Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"60mg"	"Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy"	"Duloxetine"	"Antidepressants"
"84868"	"Risperidone 1mg/ml oral solution sugar free (Waymade Healthcare Plc)"	"Oral solution"	"Oral"	"Risperidone"	"1mg/1ml"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"80973"	"Sodium valproate 500mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"500mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"86526"	"Venlafaxine 75mg tablets (Bristol Laboratories Ltd)"	"Oral tablet"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"30376"	"Thaden 25mg capsules (Opus Pharmaceuticals Ltd)"	"Oral capsule"	"Oral"	"Dosulepin"	"25mg"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"75263"	"Venzip XL 75mg capsules (Milpharm Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"18453"	"Zyprexa 2.5mg tablets (Neon Healthcare Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"2.5mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"89810"	"Risperidone 2mg tablets (Milpharm Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"2mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"60578"	"Lamotrigine 200mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Lamotrigine"	"200mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"73535"	"Haloperidol 2.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Haloperidol"	"500microgram/1ml"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"34856"	"Fluoxetine 60mg capsules (Viatris UK Healthcare Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"60mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"21819"	"Prepadine 75mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Dosulepin"	"75mg"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"39809"	"Tifaxin XL 150mg capsules (Genus Pharmaceuticals Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"59954"	"Mirtazapine 45mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Mirtazapine"	"45mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"8922"	"Oxypertine 10mg capsules"	"Oral capsule"	"Oral"	"Oxypertine"	"10mg"	"Unknown"	"Oxypertine"	"Antipsychotics"
"13820"	"Zyprexa 10mg tablets (Neon Healthcare Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"10mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"47098"	"Olanzapine 5mg orodispersible tablets sugar free"	"Orodispersible tablet"	"Oral"	"Olanzapine"	"5mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"1319"	"Clopixol 10mg tablets (Lundbeck Ltd)"	"Oral tablet"	"Oral"	"Zuclopenthixol"	"10mg"	"First-Generation Antipsychotic Drugs"	"Zuclopenthixol"	"Antipsychotics"
"42038"	"Epilim Chronosphere MR 1000mg granules sachets (Sanofi)"	"Modified-release granules"	"Oral"	"Valproate"	"1gram"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"80963"	"Risperidone 1mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Risperidone"	"1mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"2157"	"Perphenazine 4mg tablets"	"Oral tablet"	"Oral"	"Perphenazine"	"4mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo"	"Perphenazine"	"Antipsychotics"
"69121"	"Olanzapine embonate 405mg powder and solvent for prolonged-release suspension for injection vials"	"Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Olanzapine"	"405mg"	"Second-Generation Antipsychotic Drugs/Antipsychotic Depot Injections"	"Olanzapine"	"Antipsychotics"
"64330"	"Amitriptyline 50mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"50mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"4321"	"Phenelzine 15mg tablets"	"Oral tablet"	"Oral"	"Phenelzine"	"15mg"	"Monoamine-Oxidase Inhibitors (MAOI)"	"Phenelzine"	"Antidepressants"
"88524"	"Haloperidol 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Oral solution"	"Oral"	"Haloperidol"	"2mg/1ml"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"10649"	"IMIPRAMINE 75 MG TAB"	"Tablet"	"Oral"	"Imipramine"	NA	"Unknown"	"Imipramine"	"Antidepressants"
"73667"	"Venlafaxine 37.5mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Venlafaxine"	"37.5mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"71782"	"Venlafaxine 150mg modified-release capsules (Mawdsley-Brooks & Company Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"69365"	"Haloperidol 1mg/ml sugar free Oral solution (Pinewood Healthcare)"	"Oral Solution"	"Oral"	"Haloperidol"	"1mg/ml"	"Antipsychotic Products/-"	"Haloperidol"	"Antipsychotics"
"69542"	"Prozac 20mg capsules (Necessity Supplies Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"79527"	"Promazine 25mg/5ml oral solution (Waymade Healthcare Plc)"	"Oral solution"	"Oral"	"Promazine"	"5mg/1ml"	"First-Generation Antipsychotic Drugs"	"Promazine"	"Antipsychotics"
"88716"	"Sertraline 50mg tablets (Apotex UK Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"12402"	"Camcolit 250 tablets (Essential Pharma Ltd)"	"Oral tablet"	"Oral"	"Lithium"	"250mg"	"Products Used For Mania And Hypomania"	"Lithium"	"Mood Stabilisers"
"61748"	"Ebesque XL 200mg tablets (Ethypharm UK Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"200mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"64600"	"Lamotrigine 100mg tablets (Kent Pharma (UK) Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"100mg"	"Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"7147"	"Duloxetine 40mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"40mg"	"Urinary Incontinence"	"Duloxetine"	"Antidepressants"
"89528"	"Fluoxetine 20mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Fluoxetine"	"4mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"44944"	"Sertraline 100mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"27876"	"AMITRIPTYLINE"	NA	NA	"Amitriptyline"	NA	"Unknown"	"Amitriptyline"	"Antidepressants"
"25060"	"DOTHIEPIN HYDROCHLORIDE"	NA	NA	"Dosulepin"	NA	"Unknown"	"Dosulepin"	"Antidepressants"
"470"	"Venlafaxine 75mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"15660"	"LITHIUM 10.8 MMOLS/5MLS LIQ"	NA	NA	"Lithium"	NA	"Unknown"	"Lithium"	"Mood Stabilisers"
"26660"	"PROMAZINE HYDROCHLORIDE"	NA	NA	"Promazine"	NA	"Unknown"	"Promazine"	"Antipsychotics"
"13338"	"Serenace 5mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Haloperidol"	"5mg"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"22018"	"Li-Liquid 509mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Lithium"	"101.8mg/1ml"	"Products Used For Mania And Hypomania"	"Lithium"	"Mood Stabilisers"
"5510"	"Prochlorperazine mesilate 12.5mg/ml injection"	"Injection"	"Intramuscular"	"Prochlorperazine"	"12.5mg/ml"	"Antipsychotic Products/-"	"Prochlorperazine"	"Antipsychotics"
"39887"	"Stemetil 5mg tablets (Sanofi)"	"Oral tablet"	"Oral"	"Prochlorperazine"	"5mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"	"Antipsychotics"
"13524"	"Tegretol 100mg Chewtabs (Novartis Pharmaceuticals UK Ltd)"	"Chewable tablet"	"Oral"	"Carbamazepine"	"100mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"21027"	"Triperidol 1mg Tablet (Lagap)"	"Tablet"	"Oral"	"Trifluperidol"	"1mg"	"Antipsychotic Products"	"Trifluperidol"	"Antipsychotics"
"34046"	"Lofepramine 70mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Lofepramine"	"70mg"	"Tricyclic And Related Antidepressants"	"Lofepramine"	"Antidepressants"
"58450"	"Feprapax 70mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Lofepramine"	"70mg"	"Tricyclic And Related Antidepressants"	"Lofepramine"	"Antidepressants"
"40404"	"Carbamazepine 400mg modified-release tablets (A A H Pharmaceuticals Ltd)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"1712"	"Cipramil 20mg tablets (Lundbeck Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"73414"	"Fluoxetine 20mg/5ml oral solution (Pinewood Healthcare)"	"Oral solution"	"Oral"	"Fluoxetine"	"4mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"50722"	"Dosulepin 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin"	"5mg/1ml"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"22609"	"Droperidol 5mg/ml injection"	"Injection"	"Intramuscular"	"Droperidol"	"5mg/ml"	"Antipsychotic Products/Benzodiazepines (Peri-Operative)"	"Droperidol"	"Antipsychotics"
"35235"	"Piportil Depot 50mg/1ml solution for injection ampoules (Sanofi)"	"Solution for injection"	"Intramuscular"	"Pipotiazine"	"50mg/1ml"	"Antipsychotic Depot Injections"	"Pipotiazine"	"Antipsychotics"
"81210"	"Trazodone 50mg tablets"	"Oral tablet"	"Oral"	"Trazodone"	"50mg"	"Tricyclic And Related Antidepressants"	"Trazodone"	"Antidepressants"
"45344"	"Sodium valproate 200mg/5ml Oral solution (Hillcross Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Valproate"	"40mg/1ml"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"8979"	"Serenace 1.5mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Haloperidol"	"1.5mg"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"87115"	"Sertraline 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"25mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"4020"	"Trazodone 150mg tablets"	"Oral tablet"	"Oral"	"Trazodone"	"150mg"	"Tricyclic And Related Antidepressants"	"Trazodone"	"Antidepressants"
"1310"	"Imipramine 10mg tablets"	"Oral tablet"	"Oral"	"Imipramine"	"10mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Imipramine"	"Antidepressants"
"65246"	"Chlorpromazine 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Chlorpromazine"	"2mg/1ml"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"25966"	"Serdolect 4mg tablets (Imported (Denmark))"	"Oral tablet"	"Oral"	"Sertindole"	"4mg"	"Second-Generation Antipsychotic Drugs"	"Sertindole"	"Antipsychotics"
"67758"	"Prozac 20mg capsules (DE Pharmaceuticals)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"28759"	"Zotepine 100mg tablets"	"Oral tablet"	"Oral"	"Zotepine"	"100mg"	"Antipsychotic Products"	"Zotepine"	"Antipsychotics"
"70415"	"Olanzapine 15mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"15mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"54081"	"Sertraline 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline"	"5mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"4502"	"Sodium valproate 100mg tablets"	"Oral tablet"	"Oral"	"Valproate"	"100mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"32439"	"Amitriptyline 25mg Tablet (Sussex Pharmaceutical Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain"	"Amitriptyline"	"Antidepressants"
"69992"	"Brintellix 5mg tablets (Lundbeck Ltd)"	"Oral tablet"	"Oral"	"Vortioxetine"	"5mg"	"Other Antidepressants"	"Vortioxetine"	"Antidepressants"
"60449"	"Venlafaxine 75mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"82245"	"Mirtazapine 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Mirtazapine"	"15mg/1ml"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"12123"	"Faverin 100mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Fluvoxamine"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluvoxamine"	"Antidepressants"
"5597"	"Moditen 1mg tablets (Sanofi)"	"Oral tablet"	"Oral"	"Fluphenazine"	"1mg"	"Antipsychotic Products"	"Fluphenazine"	"Antipsychotics"
"76438"	"Sulpiride 400mg tablets (Medreich Plc)"	"Oral tablet"	"Oral"	"Sulpiride"	"400mg"	"First-Generation Antipsychotic Drugs"	"Sulpiride"	"Antipsychotics"
"81067"	"Citalopram 20mg tablets (Noumed Life Sciences Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"60839"	"Citalopram 40mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"40mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"57412"	"Sondate XL 400mg tablets (Teva UK Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"400mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"83016"	"Carbamazepine 200mg tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Carbamazepine"	"200mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"19824"	"STEMETIL (1ML)"	NA	NA	"Prochlorperazine"	NA	"Unknown"	"Prochlorperazine"	"Antipsychotics"
"24243"	"STEMETIL"	NA	NA	"Prochlorperazine"	NA	"Unknown"	"Prochlorperazine"	"Antipsychotics"
"79024"	"Promazine 50mg Tablet (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Promazine"	"50mg"	"Antipsychotic Products"	"Promazine"	"Antipsychotics"
"46422"	"Olanzapine embonate 300mg powder and solvent for prolonged-release suspension for injection vials"	"Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Olanzapine"	"300mg"	"Second-Generation Antipsychotic Drugs/Antipsychotic Depot Injections"	"Olanzapine"	"Antipsychotics"
"652"	"Carbamazepine 400mg tablets"	"Oral tablet"	"Oral"	"Carbamazepine"	"400mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"38939"	"Epilim 200 gastro-resistant tablets (Sanofi)"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"200mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"62620"	"Clomipramine 10mg capsules (Viatris UK Healthcare Ltd)"	"Oral capsule"	"Oral"	"Clomipramine"	"10mg"	"Tricyclic And Related Antidepressants"	"Clomipramine"	"Antidepressants"
"16229"	"FLUPHENAZINE DECANOATE 12.5 MG INJ"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	NA	"Unknown"	"Fluphenazine"	"Antipsychotics"
"18289"	"Stelazine 10mg/ml Concentrate (Goldshield Pharmaceuticals Ltd)"	"Concentrate"	"Oral"	"Trifluoperazine"	"10mg/ml"	"Antipsychotic Products/-"	"Trifluoperazine"	"Antipsychotics"
"42807"	"Haloperidol 500microgram Tablet (Lagap)"	"Oral tablet"	"Oral"	"Haloperidol"	"500microgram"	"Antipsychotic Products/-"	"Haloperidol"	"Antipsychotics"
"39237"	"Seroquel XL 400mg tablets (Luye Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"400mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"4690"	"Amitriptyline 50mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline"	"10mg/1ml"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"31098"	"Aripiprazole 15mg orodispersible tablets sugar free"	"Orodispersible tablet"	"Oral"	"Aripiprazole"	"15mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"32076"	"Aripiprazole 10mg orodispersible tablets sugar free"	"Orodispersible tablet"	"Oral"	"Aripiprazole"	"10mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
