"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"AD"
"Trazodone 50mg/5ml oral solution sugar free (AMCo)"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"10mg/1ml"	"70521"	"0403010X0"	"trazodone"
"Trazodone 50mg capsules (Actavis UK Ltd)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"50mg"	"71031"	"0403010X0"	"trazodone"
"Trazodone 100mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"20mg/1ml"	"72291"	"0403010X0"	"trazodone"
"Trazodone 150mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"150mg"	"73419"	"0403010X0"	"trazodone"
"Trazodone 150mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"150mg"	"73636"	"0403010X0"	"trazodone"
"Trazodone 100mg capsules (Actavis UK Ltd)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"100mg"	"73639"	"0403010X0"	"trazodone"
"Parstelin Tablet (GlaxoSmithKline Consumer Healthcare)"	"Tablet"	"Oral"	"Trifluoperazine Hydrochloride/Tranylcypromine Sulphate"	""	"3356"	""	"trifluoperazine_tranylcypromine"
"Tranylcypromine with trifluoperazine Tablet"	"Tablet"	"Oral"	"Trifluoperazine Hydrochloride/Tranylcypromine Sulphate"	""	"3955"	""	"trifluoperazine_tranylcypromine"
"Trifluoperazine with tranylcypromine 1mg + 10mg Tablet"	"Tablet"	"Oral"	"Trifluoperazine Hydrochloride/Tranylcypromine Sulphate"	"1mg + 10mg"	"24890"	""	"trifluoperazine_tranylcypromine"
"Trimipramine 25mg tablets"	"Tablet"	"Oral"	"Trimipramine maleate"	"25mg"	"2039"	"0403010Y0"	"trimipramine"
"Surmontil 50mg capsules (Sanofi)"	"Capsule"	"Oral"	"Trimipramine maleate"	"50mg"	"2531"	"0403010Y0"	"trimipramine"
"Surmontil 25mg tablets (Sanofi)"	"Tablet"	"Oral"	"Trimipramine maleate"	"25mg"	"2532"	"0403010Y0"	"trimipramine"
"Trimipramine 50mg capsules"	"Capsule"	"Oral"	"Trimipramine maleate"	"50mg"	"3196"	"0403010Y0"	"trimipramine"
"Trimipramine 10mg tablets"	"Tablet"	"Oral"	"Trimipramine maleate"	"10mg"	"4310"	"0403010Y0"	"trimipramine"
"Surmontil 10mg tablets (Sanofi)"	"Tablet"	"Oral"	"Trimipramine maleate"	"10mg"	"8928"	"0403010Y0"	"trimipramine"
"Trimipramine 10mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Trimipramine maleate"	"10mg"	"42228"	"0403010Y0"	"trimipramine"
"Trimipramine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Trimipramine maleate"	"25mg"	"45226"	"0403010Y0"	"trimipramine"
"Trimipramine 10mg tablets (Phoenix Healthcare Distribution Ltd)"	"Tablet"	"Oral"	"Trimipramine maleate"	"10mg"	"53808"	"0403010Y0"	"trimipramine"
"Trimipramine 25mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Trimipramine maleate"	"25mg"	"57978"	"0403010Y0"	"trimipramine"
"Trimipramine 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Trimipramine maleate"	"10mg/1ml"	"65213"	"0403010Y0"	"trimipramine"
"Trimipramine 50mg capsules (A A H Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Trimipramine maleate"	"50mg"	"65445"	"0403010Y0"	"trimipramine"
"Trimipramine 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Trimipramine maleate"	"5mg/1ml"	"66493"	"0403010Y0"	"trimipramine"
"Trimipramine 50mg capsules (Waymade Healthcare Plc)"	"Capsule"	"Oral"	"Trimipramine maleate"	"50mg"	"66919"	"0403010Y0"	"trimipramine"
"Tryptophan 500mg tablets"	"Tablet"	"Oral"	"Tryptophan"	"500mg"	"4422"	"0403040S0"	"tryptophan"
"Optimax 500mg tablets (Intrapharm Laboratories Ltd)"	"Tablet"	"Oral"	"Tryptophan"	"500mg"	"5611"	"0403040S0"	"tryptophan"
"Pacitron 500mg Tablet (Rorer Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Tryptophan"	"500mg"	"12221"	"0403040S0"	"tryptophan"
"Optimax wv Tablet (E. Merck)"	"Tablet"	"Oral"	"Tryptophan"	"500mg"	"20504"	"0403040S0"	"tryptophan"
"Tryptophan 500mg capsules"	"Capsule"	"Oral"	"Tryptophan"	"500mg"	"54686"	"0403040S0"	"tryptophan"
"Optimax 500mg capsules (Intrapharm Laboratories Ltd)"	"Capsule"	"Oral"	"Tryptophan"	"500mg"	"54747"	"0403040S0"	"tryptophan"
"Venlafaxine 37.5mg tablets"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"301"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"470"	"0403040W0"	"venlafaxine"
"Efexor 37.5mg tablets (Wyeth Pharmaceuticals)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"623"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg tablets"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"1222"	"0403040W0"	"venlafaxine"
"Efexor XL 75mg capsules (Pfizer Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"1474"	"0403040W0"	"venlafaxine"
"Venlafaxine 50mg tablets"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"50mg"	"2617"	"0403040W0"	"venlafaxine"
"Venlafaxine 150mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"2654"	"0403040W0"	"venlafaxine"
"Efexor XL 150mg capsules (Pfizer Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"5710"	"0403040W0"	"venlafaxine"
"Efexor 50mg tablets (Wyeth Pharmaceuticals)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"50mg"	"6274"	"0403040W0"	"venlafaxine"
"Efexor 75mg tablets (Wyeth Pharmaceuticals)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"9182"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Venlafaxine hydrochloride"	"7.5mg/1ml"	"13237"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"39359"	"0403040W0"	"venlafaxine"
"Venlafaxine 150mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"39360"	"0403040W0"	"venlafaxine"
"Tifaxin XL 75mg capsules (Genus Pharmaceuticals Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"39770"	"0403040W0"	"venlafaxine"
"Tifaxin XL 150mg capsules (Genus Pharmaceuticals Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"39809"	"0403040W0"	"venlafaxine"
"ViePax XL 75mg tablets (Dexcel-Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"40048"	"0403040W0"	"venlafaxine"
"ViePax XL 150mg tablets (Dexcel-Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"40049"	"0403040W0"	"venlafaxine"
"Venlafaxine 225mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"225mg"	"40054"	"0403040W0"	"venlafaxine"
"Venlalic XL 75mg tablets (Ethypharm UK Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"40059"	"0403040W0"	"venlafaxine"
"Venlalic XL 150mg tablets (Ethypharm UK Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"40062"	"0403040W0"	"venlafaxine"
"Vensir XL 150mg capsules (Morningside Healthcare Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"40092"	"0403040W0"	"venlafaxine"
"Vensir XL 75mg capsules (Morningside Healthcare Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"40277"	"0403040W0"	"venlafaxine"
"Venlalic XL 225mg tablets (Ethypharm UK Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"225mg"	"40407"	"0403040W0"	"venlafaxine"
"Venaxx XL 150mg capsules (AMCo)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"40514"	"0403040W0"	"venlafaxine"
"Venaxx XL 75mg capsules (AMCo)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"40515"	"0403040W0"	"venlafaxine"
"Vexarin XL 150mg capsules (Mylan)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"40517"	"0403040W0"	"venlafaxine"
"ViePax 37.5mg tablets (Dexcel-Pharma Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"40764"	"0403040W0"	"venlafaxine"
"Tardcaps XL 75mg capsules (IXL Pharma Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"40815"	"0403040W0"	"venlafaxine"
"Tardcaps XL 150mg capsules (IXL Pharma Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"40817"	"0403040W0"	"venlafaxine"
"ViePax 75mg tablets (Dexcel-Pharma Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"40917"	"0403040W0"	"venlafaxine"
"Rodomel XL 75mg capsules (Teva UK Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"41033"	"0403040W0"	"venlafaxine"
"Politid XL 75mg capsules (Actavis UK Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"41299"	"0403040W0"	"venlafaxine"
"Rodomel XL 150mg capsules (Teva UK Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"41314"	"0403040W0"	"venlafaxine"
"Vexarin XL 75mg capsules (Mylan)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"42600"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg modified-release capsules (Sandoz Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"43203"	"0403040W0"	"venlafaxine"
"Venlafaxine 150mg modified-release capsules (Sandoz Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"43334"	"0403040W0"	"venlafaxine"
"Politid XL 150mg capsules (Actavis UK Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"43673"	"0403040W0"	"venlafaxine"
"Foraven XL 75mg capsules (Forum Products Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"43968"	"0403040W0"	"venlafaxine"
"Venlaneo XL 150mg capsules (Kent Pharmaceuticals Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"44936"	"0403040W0"	"venlafaxine"
"Venlaneo XL 75mg capsules (Kent Pharmaceuticals Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"44937"	"0403040W0"	"venlafaxine"
"Depefex XL 150mg capsules (Chiesi Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"45664"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"45806"	"0403040W0"	"venlafaxine"
"Venlalic XL 37.5mg tablets (Ethypharm UK Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"45818"	"0403040W0"	"venlafaxine"
"Depefex XL 75mg capsules (Chiesi Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"45959"	"0403040W0"	"venlafaxine"
"Ranfaxine XL 75mg capsules (Ranbaxy (UK) Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"48199"	"0403040W0"	"venlafaxine"
"Venlablue XL 75mg capsules (Creo Pharma Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"49511"	"0403040W0"	"venlafaxine"
"Venlablue XL 150mg capsules (Creo Pharma Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"50081"	"0403040W0"	"venlafaxine"
"Venlafaxine 150mg/5ml oral solution"	"Oral solution"	"Oral"	"Venlafaxine hydrochloride"	"30mg/1ml"	"50934"	"0403040W0"	"venlafaxine"
"Efexor XL 150mg capsules (Waymade Healthcare Plc)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"51280"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg tablets (Ranbaxy (UK) Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"51361"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Venlafaxine hydrochloride"	"7.5mg/1ml"	"51699"	"0403040W0"	"venlafaxine"
"Alventa XL 75mg capsules (Consilient Health Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"52074"	"0403040W0"	"venlafaxine"
"Alventa XL 150mg capsules (Consilient Health Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"52516"	"0403040W0"	"venlafaxine"
"Tonpular XL 75mg capsules (Wockhardt UK Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"52716"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg/5ml oral solution"	"Oral solution"	"Oral"	"Venlafaxine hydrochloride"	"15mg/1ml"	"53326"	"0403040W0"	"venlafaxine"
"Venlafaxine"	""	""	"Venlafaxine Hydrochloride"	""	"55424"	"0403040W0"	"venlafaxine"
"Venlafaxine 150mg Modified-release capsule (Hillcross Pharmaceuticals Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"55501"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"56457"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"56662"	"0403040W0"	"venlafaxine"
"Tonpular XL 150mg capsules (Wockhardt UK Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"57751"	"0403040W0"	"venlafaxine"
"Venladex XL 75mg tablets (Dexcel-Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"58681"	"0403040W0"	"venlafaxine"
"Venladex XL 150mg tablets (Dexcel-Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"58726"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"58837"	"0403040W0"	"venlafaxine"
"Venlablue XL 37.5mg capsules (Creo Pharma Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"59035"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg modified-release capsules (Kent Pharmaceuticals Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"59563"	"0403040W0"	"venlafaxine"
"Sunveniz XL 150mg tablets (Sun Pharmaceuticals UK Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"59753"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg tablets (Bristol Laboratories Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"59923"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"60449"	"0403040W0"	"venlafaxine"
"Venlafaxine 150mg modified-release capsules (Kent Pharmaceuticals Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"60549"	"0403040W0"	"venlafaxine"
"Sunveniz XL 75mg tablets (Sun Pharmaceuticals UK Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"60843"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"60895"	"0403040W0"	"venlafaxine"
"Bonilux XL 150mg capsules (Sandoz Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"61236"	"0403040W0"	"venlafaxine"
"Venlafaxine 150mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Venlafaxine hydrochloride"	"30mg/1ml"	"62734"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Venlafaxine hydrochloride"	"15mg/1ml"	"63268"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"63859"	"0403040W0"	"venlafaxine"
"Venlafaxine 225mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"225mg"	"65666"	"0403040W0"	"venlafaxine"
"Efexor 37.5mg tablets (Sigma Pharmaceuticals Plc)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"65738"	"0403040W0"	"venlafaxine"
"Efexor XL 225mg capsules (Pfizer Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"225mg"	"65899"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"66437"	"0403040W0"	"venlafaxine"
"Efexor 37.5mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"67271"	"0403040W0"	"venlafaxine"
"Efexor 75mg tablets (Dowelhurst Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"67288"	"0403040W0"	"venlafaxine"
"Vensir XL 225mg capsules (Morningside Healthcare Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"225mg"	"67563"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"68050"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg modified-release capsules (Mawdsley-Brooks & Company Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"68876"	"0403040W0"	"venlafaxine"
"Vencarm XL 37.5mg capsules (Aspire Pharma Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"69819"	"0403040W0"	"venlafaxine"
"Vencarm XL 75mg capsules (Aspire Pharma Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"70315"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"70353"	"0403040W0"	"venlafaxine"
"Vencarm XL 150mg capsules (Aspire Pharma Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"70420"	"0403040W0"	"venlafaxine"
"Vencarm XL 225mg capsules (Aspire Pharma Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"225mg"	"70495"	"0403040W0"	"venlafaxine"
"Venlafaxine 150mg modified-release capsules (DE Pharmaceuticals)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"70806"	"0403040W0"	"venlafaxine"
"Venlasov XL 75mg capsules (Sovereign Medical Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"70931"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg modified-release capsules (DE Pharmaceuticals)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"71257"	"0403040W0"	"venlafaxine"
"Venlafaxine 150mg modified-release capsules (Mawdsley-Brooks & Company Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"71782"	"0403040W0"	"venlafaxine"
"Amphero XL 75mg capsules (Mylan)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"71806"	"0403040W0"	"venlafaxine"
"Venlasov XL 150mg capsules (Sovereign Medical Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"71932"	"0403040W0"	"venlafaxine"
"Venlafaxine 75mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"73658"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"73667"	"0403040W0"	"venlafaxine"
"Efexor XL 150mg capsules (Necessity Supplies Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"74010"	"0403040W0"	"venlafaxine"
"Efexor XL 75mg capsules (Dowelhurst Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"74011"	"0403040W0"	"venlafaxine"
"Venladex XL 225mg tablets (Dexcel-Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"225mg"	"74516"	"0403040W0"	"venlafaxine"
"Venzip XL 75mg capsules (Milpharm Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"75263"	"0403040W0"	"venlafaxine"
"Venlafaxine 37.5mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"75525"	"0403040W0"	"venlafaxine"
"Winfex XL 150mg capsules (Zentiva)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"75848"	"0403040W0"	"venlafaxine"
"Efexor XL 75mg capsules (Lexon (UK) Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"75894"	"0403040W0"	"venlafaxine"
"Vortioxetine 5mg tablets"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"5mg"	"65482"	"0403040AB"	"vortioxetine"
"Vortioxetine 10mg tablets"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"10mg"	"65483"	"0403040AB"	"vortioxetine"
"Vortioxetine 20mg tablets"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"20mg"	"66890"	"0403040AB"	"vortioxetine"
"Brintellix 10mg tablets (Lundbeck Ltd)"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"10mg"	"67874"	"0403040AB"	"vortioxetine"
"Brintellix 20mg tablets (Lundbeck Ltd)"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"20mg"	"69991"	"0403040AB"	"vortioxetine"
"Brintellix 5mg tablets (Lundbeck Ltd)"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"5mg"	"69992"	"0403040AB"	"vortioxetine"
"AMITRIPTYLINE 100 MG TAB"	""	""	""	""	"873"	"00000000"	"amitriptyline"
"TRIMIPRAMINE 50 MG TAB"	""	""	""	""	"2533"	"00000000"	"imipramine"
"CLOMIPRAMINE 25 MG TAB"	""	""	""	""	"3195"	"00000000"	"clomipramine"
"L-TRYPTOPHAN 500 MG CAP"	""	""	""	""	"3353"	"00000000"	"tryptophan"
"IMIPRAMINE 100 MG TAB"	""	""	""	""	"3668"	"00000000"	"imipramine"
"AMITRIPTYLINE 75 MG TAB"	""	""	""	""	"3771"	"00000000"	"amitriptyline"
"OPTIMAX TAB"	""	""	""	""	"3954"	"00000000"	"tryptophan"
"AMOXAPINE 25 MG TAB"	""	""	""	""	"7475"	"00000000"	"amoxapine"
"IMIPRAMINE 25 MG CAP"	""	""	""	""	"7573"	"00000000"	"imipramine"
"IMIPRAMINE 50 MG TAB"	""	""	""	""	"7784"	"00000000"	"imipramine"
"AMITRIPTYLINE S/F 25 MG/5ML SYR"	""	""	""	""	"8250"	"00000000"	"amitriptyline"
"TOFRANIL 50 MG TAB"	""	""	""	""	"8826"	"00000000"	"imipramine"
"Tryptophan with ascorbic acid and pyridoxine powder"	"Powder"	"Oral"	"Ascorbic Acid/Tryptophan/Pyridoxine Hydrochloride"	""	"8844"	"04030400"	"tryptophan"
"OPTIMAX 6 GM POW"	""	""	""	""	"8845"	"00000000"	"tryptophan"
"Dutonin tablets treatment initiation pack (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Not applicable"	"Route of administration not applicable"	""	""	"9496"	"00000000"	"nefazodone"
"IMIPRAMINE 75 MG TAB"	""	""	""	""	"10649"	"00000000"	"imipramine"
"NORTRIPTYLINE 10 MG ELI"	""	""	""	""	"12194"	"00000000"	"nortriptyline"
"ANAFRANIL 25 MG INJ"	""	""	""	""	"13318"	"00000000"	"clomipramine"
"AMITRIPTYLINE 200 MG TAB"	""	""	""	""	"13496"	"00000000"	"amitriptyline"
"SINEQUAN 15 MG TAB"	""	""	""	""	"14521"	"00000000"	"doxepin"
"MAPROTILINE HCl 75 MG TAB"	""	""	""	""	"20379"	"00000000"	"maprotiline"
"AMITRIPTYLINE S/R"	""	""	""	""	"20712"	"00000000"	"amitriptyline"
"LIMBITROL 5"	""	""	""	""	"20715"	"00000000"	"amitriptyline_chlordiazepoxide"
"TRYPTIZOL"	""	""	""	""	"22006"	"00000000"	"amitriptyline"
"DOXEPIN HCL"	""	""	""	""	"22872"	"00000000"	"doxepin"
"FAVERIN"	""	""	""	""	"23334"	"00000000"	"fluvoxamine"
"AMITRIPTYLINE 300 MG TAB"	""	""	""	""	"23497"	"00000000"	"amitriptyline"
"CLOMIPRAMINE HYDROCHLORIDE"	""	""	""	""	"25036"	"00000000"	"clomipramine"
"TRIMIPRAMINE"	""	""	""	""	"25045"	"00000000"	"imipramine"
"LOFEPRAMINE"	""	""	""	""	"25070"	"00000000"	"lofepramine"
"TRIMIPRAMINE"	""	""	""	""	"25085"	"00000000"	"imipramine"
"BOLVIDON 60 MG TAB"	""	""	""	""	"26715"	"00000000"	"bolvidon"
"PROTHIADEN"	""	""	""	""	"26822"	"00000000"	"dosulepin"
"SURMONTIL"	""	""	""	""	"27568"	"00000000"	"trimipramine"
"PROTHIADEN"	""	""	""	""	"27616"	"00000000"	"dosulepin"
"AMITRIPTYLINE"	""	""	""	""	"27876"	"00000000"	"amitriptyline"
"AMITRIPTYLINE S/F"	""	""	""	""	"30738"	"00000000"	"amitriptyline"
